"Number of Registered Live Births by Sex and by Usual Residence of Mother (Region, Province and Highly Urbanized City), Philippines: January - December 2013-2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,,,2014,,,2015,,,2016,,,2017,,,2018,,,2019,,,2020,,,2021,,,2022,,
,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female
..DINAGAT ISLANDS,1256,621,635,1320,689,631,1386,725,661,1350,712,638,1432,754,678,1366,690,676,1294,664,630,1152,591,561,1005,524,481,1303,677,626
..SURIGAO DEL NORTE,6968,3587,3381,7004,3586,3418,7547,3862,3685,7777,4069,3708,7916,4156,3760,7838,4137,3701,7880,4071,3809,7262,3847,3415,6528,3391,3137,6695,3486,3209
..SURIGAO DEL SUR,8840,4656,4184,9434,4957,4477,10581,5518,5063,11335,5894,5441,11528,5998,5530,11197,5850,5347,11355,5843,5512,10107,5249,4858,9327,4929,4398,10490,5456,5034
..CITY OF BUTUAN,5627,2928,2699,5702,2997,2705,5581,2924,2657,5565,2882,2683,5525,2893,2632,5433,2760,2673,5632,2932,2700,5216,2712,2504,4732,2442,2290,5115,2644,2471
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM) 3,15716,8187,7529,17869,9328,8541,17450,9165,8285,34710,18153,16557,39421,20677,18744,33992,17836,16156,34894,18124,16770,32097,16663,15434,32495,16839,15656,40035,20886,19149
..BASILAN,741,391,350,569,296,273,255,134,121,1925,991,934,2195,1126,1069,2137,1147,990,2529,1320,1209,2059,999,1060,2386,1265,1121,3141,1641,1500
..LANAO DEL SUR,3308,1700,1608,3393,1776,1617,4765,2495,2270,8763,4629,4134,8579,4511,4068,7859,4159,3700,8127,4260,3867,6273,3243,3030,6821,3599,3222,8888,4666,4222
..MAGUINDANAO 4,9878,5103,4775,12855,6718,6137,12197,6419,5778,18756,9761,8995,21348,11224,10124,18397,9678,8719,17872,9330,8542,18816,9897,8919,19518,10045,9473,22120,11531,10589
..SULU,1464,825,639,162,79,83,101,55,46,3330,1749,1581,4500,2337,2163,3418,1720,1698,3833,1932,1901,3006,1556,1450,2692,1398,1294,4087,2109,1978
..TAWI-TAWI,325,168,157,890,459,431,132,62,70,1936,1023,913,2799,1479,1320,2181,1132,1049,2533,1282,1251,1943,968,975,1078,532,546,1799,939,860
FOREIGN COUNTRY,79,38,41,75,40,35,140,73,67,890,465,425,608,323,285,102,59,43,127,58,69,94,47,47,34,16,18,56,36,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Figures are results of actual registration without any adjustment of under registration.* Includes babies born in the Philippines whose mother's usual residence is in a foreign country. 1 Excludes the City of Cotabato 2 Includes the 63 barangays in the province of Cotabato that are now part of the 8 area clusters in BARMM as data by barangay are not available 3 Excludes the 63 barangays from the province of Cotabato that now comprise the 8 area clusters in BARMM 4 Includes the City of Cotabato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latest update:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240628 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Philippine Statistics Authority, Civil Registration Service",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vital Statistics Division (VSD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phiilippine Statistics Authority (PSA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8th Floor CRS Bldg East Ave. Quezon City ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tel:8461-0500 loc 820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vsd.staff@psa.gov.ph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Counts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Internal reference code:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A1BBIR0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
